t,service_id,service_name,arrival_rate,departure_rate,avg_latency_ms,queue_size,e2e_latency_ms
21.200000000000003,1,Service 1,425.0,430.0,3.5739341021364592,3,3.5739341021364592
21.400000000000002,1,Service 1,450.0,465.0,4.242212781609276,0,4.242212781609276
21.6,1,Service 1,385.0,380.0,3.9205425744872975,1,3.9205425744872975
21.8,1,Service 1,400.0,400.0,4.241041763729658,1,4.241041763729658
22.0,1,Service 1,420.0,420.0,3.741480686499519,1,3.741480686499519
22.200000000000003,1,Service 1,425.0,425.0,5.156310923451582,1,5.156310923451582
22.400000000000002,1,Service 1,480.0,470.0,3.951873909936214,3,3.951873909936214
22.6,1,Service 1,435.0,420.0,3.9301865212920513,6,3.9301865212920513
22.8,1,Service 1,430.0,445.0,5.476112711879554,3,5.476112711879554
23.0,1,Service 1,325.0,330.0,2.9020632716599457,2,2.9020632716599457
23.200000000000003,1,Service 1,405.0,405.0,5.051815231636539,2,5.051815231636539
23.400000000000002,1,Service 1,480.0,465.0,5.195002329324163,5,5.195002329324163
23.6,1,Service 1,585.0,535.0,19.98296838550125,15,19.98296838550125
23.8,1,Service 1,445.0,495.0,10.026019486712915,5,10.026019486712915
24.0,1,Service 1,420.0,440.0,4.468562344434349,1,4.468562344434349
24.200000000000003,1,Service 1,465.0,460.0,5.468851036040024,2,5.468851036040024
24.400000000000002,1,Service 1,440.0,440.0,5.069385392867932,2,5.069385392867932
24.6,1,Service 1,420.0,420.0,5.8756315525048235,2,5.8756315525048235
24.8,1,Service 1,405.0,415.0,2.670750533148135,0,2.670750533148135
25.0,1,Service 1,390.0,370.0,2.99701989880146,4,2.99701989880146
25.200000000000003,1,Service 1,510.0,475.0,8.741999432275017,11,8.741999432275017
25.400000000000002,1,Service 1,430.0,480.0,16.885096310111148,1,16.885096310111148
25.6,1,Service 1,415.0,405.0,3.429203822889102,3,3.429203822889102
25.8,1,Service 1,545.0,550.0,4.9716032506720795,2,4.9716032506720795
26.0,1,Service 1,400.0,410.0,5.544796432298977,0,5.544796432298977
26.200000000000003,1,Service 1,450.0,420.0,8.392798656016694,6,8.392798656016694
26.400000000000002,1,Service 1,535.0,515.0,14.633623631995496,10,14.633623631995496
26.6,1,Service 1,450.0,490.0,9.354827709495984,2,9.354827709495984
26.8,1,Service 1,495.0,470.0,14.791248539186038,7,14.791248539186038
27.0,1,Service 1,420.0,450.0,7.428791036208912,1,7.428791036208912
27.200000000000003,1,Service 1,450.0,445.0,3.6772008147081903,2,3.6772008147081903
27.400000000000002,1,Service 1,505.0,480.0,12.595163611353081,7,12.595163611353081
27.6,1,Service 1,485.0,500.0,7.803026285326171,4,7.803026285326171
27.8,1,Service 1,425.0,440.0,5.763334438186198,1,5.763334438186198
28.0,1,Service 1,500.0,450.0,20.78936294506697,11,20.78936294506697
28.200000000000003,1,Service 1,525.0,480.0,37.70222679304276,20,37.70222679304276
28.400000000000002,1,Service 1,290.0,385.0,17.180658726864625,1,17.180658726864625
28.6,1,Service 1,510.0,500.0,4.796092675696677,3,4.796092675696677
28.8,1,Service 1,435.0,450.0,8.282195703190116,0,8.282195703190116
29.0,1,Service 1,505.0,490.0,4.052355111964917,3,4.052355111964917
29.200000000000003,1,Service 1,445.0,410.0,4.916721185837467,10,4.916721185837467
29.400000000000002,1,Service 1,440.0,485.0,5.28798895242316,1,5.28798895242316
29.6,1,Service 1,395.0,380.0,4.377196701142524,4,4.377196701142524
29.8,1,Service 1,515.0,520.0,9.080530554461605,3,9.080530554461605
30.0,1,Service 1,470.0,485.0,3.2120600323438584,0,3.2120600323438584
30.200000000000003,1,Service 1,465.0,445.0,5.770129345828982,4,5.770129345828982
30.400000000000002,1,Service 1,475.0,470.0,11.567031658889867,5,11.567031658889867
30.6,1,Service 1,390.0,415.0,8.869908904794338,0,8.869908904794338
30.8,1,Service 1,390.0,375.0,3.272073535687762,3,3.272073535687762
31.0,1,Service 1,485.0,500.0,6.161097958007672,0,6.161097958007672
31.200000000000003,1,Service 1,455.0,455.0,3.744293618345506,0,3.744293618345506
31.400000000000002,1,Service 1,445.0,440.0,5.716769274241534,1,5.716769274241534
31.6,1,Service 1,495.0,460.0,3.710762263094534,8,3.710762263094534
31.8,1,Service 1,430.0,470.0,9.090982803825758,0,9.090982803825758
32.0,1,Service 1,430.0,415.0,6.862959615954623,3,6.862959615954623
32.2,1,Service 1,490.0,430.0,14.400886888619832,15,14.400886888619832
32.4,1,Service 1,415.0,475.0,17.302384956262376,3,17.302384956262376
32.6,1,Service 1,535.0,510.0,13.714577203175974,8,13.714577203175974
32.800000000000004,1,Service 1,455.0,470.0,8.273249183166463,5,8.273249183166463
33.0,1,Service 1,440.0,450.0,7.539384869290602,3,7.539384869290602
33.2,1,Service 1,425.0,430.0,4.218423126433569,2,4.218423126433569
33.4,1,Service 1,435.0,425.0,4.569293559898108,4,4.569293559898108
33.6,1,Service 1,540.0,525.0,6.597517220871076,7,6.597517220871076
33.800000000000004,1,Service 1,505.0,535.0,8.370524295688421,1,8.370524295688421
34.0,1,Service 1,405.0,385.0,3.454887100620464,5,3.454887100620464
34.2,1,Service 1,490.0,500.0,11.525615996841267,3,11.525615996841267
34.4,1,Service 1,470.0,480.0,5.7508430591457484,1,5.7508430591457484
34.6,1,Service 1,415.0,405.0,4.847498170375469,3,4.847498170375469
34.800000000000004,1,Service 1,360.0,375.0,2.6834992439859207,0,2.6834992439859207
35.0,1,Service 1,145.0,145.0,2.513324991339222,0,2.513324991339222
